EntityID	NER	RAG	UAL
https://refidao.com/urn:profile:0xLuo	0xLuo; I previously worked with agricultural and environmental remote sensing to monitor agriculture safety and environmental conditions. Now, I focus on developing remote sensing and GIS systems, and I'm interested in exploring the applications of crypto and DAOs for coordination.	type: Person; 0xLuo; I previously worked with agricultural and environmental remote sensing to monitor agriculture safety and environmental conditions. Now, I focus on developing remote sensing and GIS systems, and I'm interested in exploring the applications of crypto and DAOs for coordination.; description: I previously worked with agricultural and environmental remote sensing to monitor agriculture safety and environmental conditions. Now, I focus on developing remote sensing and GIS systems, and I'm interested in exploring the applications of crypto and DAOs for coordination.; jobtitle: Investor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:0xflypeztic	0xflypeztic; 0xflypeztic	type: Person; 0xflypeztic; 0xflypeztic; description: 0xflypeztic; jobtitle: Creator; publicprofilechecked: checked; knowsabout: MRV,Animals,Agriculture,Energy,Food Forests,Forestry,Water,Biodiversity,Ocean,Other,Regenerative Economics,Ecosystem Regeneration,Climate Solutions,Fundraising in ReFi,Impact NFTs; knowslanguage: English,Spanish,French	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:Aaron	Aaron	type: Person; Aaron; jobtitle: Founder; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AaronPrice	Aaron Price	type: Person; Aaron Price; jobtitle: Founder; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AbbasKSani	Abbas K.Sani	type: Person; Abbas K.Sani; jobtitle: Founder; publicprofilechecked: checked; knowsabout: Animals; alumniof: Fighters Gang	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:Abhinand	Abhinand; Seeking mates to help rebuild the world - a world that works for all, where people are in touch with nature, connected to others and embodying their Higher Self.	type: Person; Abhinand; Seeking mates to help rebuild the world - a world that works for all, where people are in touch with nature, connected to others and embodying their Higher Self.; description: Seeking mates to help rebuild the world - a world that works for all, where people are in touch with nature, connected to others and embodying their Higher Self.; jobtitle: Founder, Contributor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AbhinavKumar	Abhinav Kumar	type: Person; Abhinav Kumar; jobtitle:  Contributor; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdaezeOkafor	Adaeze Okafor; I work as a climate researcher and soil scientist. I am a representative of ReFibysouth in Nigeria. Additionally, I work as a volunteer for the Foundation for Climate Restoration ( F4CR)	type: Person; Adaeze Okafor; I work as a climate researcher and soil scientist. I am a representative of ReFibysouth in Nigeria. Additionally, I work as a volunteer for the Foundation for Climate Restoration ( F4CR); description: I work as a climate researcher and soil scientist. I am a representative of ReFibysouth in Nigeria. Additionally, I work as a volunteer for the Foundation for Climate Restoration ( F4CR); publicprofilechecked: checked; knowslanguage: English; memberof: ReFi DAO Forum; creatorof: Scaling Natural Capital with Web3  ReFi    Roundup 50,Regenerating The Sahel -Healing The Soil	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdamFrench	Adam French; Entrepreneur/advisor/designer/artist applying business model design + regenerative strategy thinking + web3 to regenerate our world.\n\nFounded a consulting business and grew it to 70k ARR before I finished college then left b/c "social impact"" didn't resonate with what I was trying to do.	type: Person; Adam French; Entrepreneur/advisor/designer/artist applying business model design + regenerative strategy thinking + web3 to regenerate our world.\n\nFounded a consulting business and grew it to 70k ARR before I finished college then left b/c "social impact"" didn't resonate with what I was trying to do.; description: Entrepreneur/advisor/designer/artist applying business model design + regenerative strategy thinking + web3 to regenerate our world.\n\nFounded a consulting business and grew it to 70k ARR before I finished college then left b/c "social impact"" didn't resonate with what I was trying to do.; jobtitle:  Contributor; publicprofilechecked: checked; memberof: The Lexicon - Ecological Benefits Activator	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
https://refidao.com/urn:profile:AdamSimms	Adam Simms	type: Person; Adam Simms; publicprofilechecked: checked	did:dkg:otp/0x5cac41237127f94c2d21dae0b14bfefa99880630/4162148
